fish_id,species,common_name,waterbody_name,kingdom,phylum,class,order,family,genus,status,feeding_type,temp_max,weight_max,length_max,temp_pref_min,temp_pref_max,temp_range,fecundity_mean,fecundity_min,fecundity_max,trophic_lvl_estimate,trophic_lvl,wb_ph_min,wb_ph_max,wb_salinity_min,wb_salinity_max,wb_do_min,wb_do_max,wb_bod_min,wb_bod_max,wb_turbidity_min,wb_turbidity_max,wb_temp_min,wb_temp_max
F1413,Galaxias eldoni,Eldon’s galaxias,"Waipori River Tributaries, New Zealand",Animalia,Chordata,Actinopterygii,Osmeriformes,Galaxiidea,Galaxias,Established,predator,,,,,,,,,,,3.22,7.5,7.5,0.1,0.1,8.8,8.8,1.6,1.6,2.3,2.3,10.0,15.0
F1413,Galaxias eldoni,Eldon’s galaxias,"Tokomairiro River Headwaters, New Zealand",Animalia,Chordata,Actinopterygii,Osmeriformes,Galaxiidea,Galaxias,Established,predator,,,,,,,,,,,3.22,7.3,7.3,0.1,0.1,8.7,8.7,1.4,1.4,2.0,2.0,9.0,13.0
F1414,Glossolepis dorityi,Grime rainbowfish,"Lake Kali Biru, Indonesia",Animalia,Chordata,Actinopterygii,Atheriniformes,Melanotaeniidae,Glossolepis,Possibly Extinct,Omnivore,,,,,,,,,,2.8,,7.2,7.2,0.2,0.2,8.4,8.4,2.1,2.1,2.8,2.8,24.0,27.0
F1414,Glossolepis dorityi,Grime rainbowfish,"Lake Tum, Indonesia",Animalia,Chordata,Actinopterygii,Atheriniformes,Melanotaeniidae,Glossolepis,Possibly Extinct,Omnivore,,,,,,,,,,2.8,,7.3,7.3,0.2,0.2,8.5,8.5,2.0,2.0,2.5,2.5,24.0,27.0
F1415,Sinocyclocheilus grahami,Golden-line barbel,"Lake Dianchi, China",Animalia,Chordata,Actinopterygii,Cypriniformes,Cyprinidae,Sinocyclocheilus,Extirpated,Omnivore,,,13.4,,,,,,,2.9,,8.3,8.3,0.4,0.4,6.5,6.5,3.8,3.8,6.2,6.2,15.0,23.0
F1415,Sinocyclocheilus grahami,Golden-line barbel,"Muyang Tributary, China",Animalia,Chordata,Actinopterygii,Cypriniformes,Cyprinidae,Sinocyclocheilus,Established,Omnivore,,,13.4,,,,,,,2.9,,7.9,7.9,0.2,0.2,8.4,8.4,2.1,2.1,2.7,2.7,14.0,20.0
F1415,Sinocyclocheilus grahami,Golden-line barbel,"Lengshui Spring, China",Animalia,Chordata,Actinopterygii,Cypriniformes,Cyprinidae,Sinocyclocheilus,Established,Omnivore,,,13.4,,,,,,,2.9,,7.8,7.8,0.2,0.2,8.6,8.6,2.0,2.0,2.5,2.5,14.0,20.0
F1416,Amphilophus astorquii,Black midas cichlid,"Lake Apoyo, Nicaragua",Animalia,Chordata,Actinopterygii,Perciformes,Cichlidae,Amphilophus,Established,Omnivore,,,,,,,,,,3.2,,8.4,8.4,0.3,0.3,7.8,7.8,2.5,2.5,3.2,3.2,26.0,29.0
F1417,Amphilophus chancho,Chancho cichlid,"Lake Apoyo, Nicaragua",Animalia,Chordata,Actinopterygii,Perciformes,Cichlidae,Amphilophus,Established,Omnivore,,,,,,,,,,3.2,,8.4,8.4,0.3,0.3,7.8,7.8,2.5,2.5,3.2,3.2,26.0,29.0
F1418,Amphilophus flaveolus,,"Lake Apoyo, Nicaragua",Animalia,Chordata,Actinopterygii,Perciformes,Cichlidae,Amphilophus,Established,Omnivore,,,,,,,,,,3.2,,8.4,8.4,0.3,0.3,7.8,7.8,2.5,2.5,3.2,3.2,26.0,29.0
F1419,Amphilophus zaliosus,Arrow cichlid,"Lake Apoyo, Nicaragua",Animalia,Chordata,Actinopterygii,Perciformes,Cichlidae,Amphilophus,Established,Omnivore,,,,,,,,,,3.2,,8.4,8.4,0.3,0.3,7.8,7.8,2.5,2.5,3.2,3.2,26.0,29.0
F1420,Neosilurus gloveri,Dalhousie catfish,"Main Spring, Dalhousie Springs, Australia",Animalia,Chordata,Actinopterygii,Siluriformes,Plotosidae,Neosilurus,Established,Omnivore,,,,30,38,8,666.5,136.0,1197.0,,3.39,7.6,7.6,10.0,10.0,7.9,7.9,2.2,2.2,2.4,2.4,30.0,38.0
F1421,Allomogurnda flavimarginata,,"Bulolo River, Papua New Guinea",Animalia,Chordata,Actinopterygii,Perciformes,Eleotridae,Allomogurnda,Established,Invertivore,,,,,,,,,,3.2,,7.4,7.4,0.2,0.2,8.3,8.3,2.0,2.0,2.6,2.6,22.0,26.0
F1421,Allomogurnda flavimarginata,,"Wau Creek, Papua New Guinea",Animalia,Chordata,Actinopterygii,Perciformes,Eleotridae,Allomogurnda,Established,Invertivore,,,,,,,,,,3.2,,7.5,7.5,0.2,0.2,8.5,8.5,1.9,1.9,2.4,2.4,21.0,25.0
